1. agencias		Comentário: Cadastro das agências bancárias onde os funcionários podem ter uma conta.			
1	pkfkbanco	character	3	Sim	Parte da CP [pkagencia]=[pkfkbanco,pkagencia] [composta] CE [fk1agencia]=[pkfkbanco] apontando para a tabela bancos[pkbanco]. Pode conter letras e números.
2	pkagencia	character	6	Sim	Parte da CP [pkagencia]=[pkfkbanco,pkagencia] [composta]. Pode conter letras e números.
3	txnomeagencia	character varying	250	Sim	Nome da Agência (sem abreviações].
4	fklogradouro	integer	NI	Nao	fk [fk2agencia]=[fklogradouro] apontando para a tabela logradouros[pklogradouro] onde está a agência bancária.
5	txcomplemento	character varying	25	Nao	Texto com o complemento do logradouro da agência bancária (número, andar, etc.].
6	nucep	character	8	Nao	Número do CEP (somente números]
7	dtcadagencia	date	NI	Nao	Data de geração do registro.
					
2. agenciastels		Comentário: Registro dos telefones de cada autor de publicação.			
1	pkagenciatel	integer	NI	Sim	pk da tabela [pkagenciatel]=[pkagenciatel]. Número inteiro sequencial crescente de 1 em 1.
2	fkbanco	character	3	Sim	fk [fk1agenciatel]=[fkbanco,fkagencia] [composta] apontando para a tabela agencias(pkfkbanco,pkagencia].
3	fkagencia	character	6	Sim	fk [fk1agenciatel]=[fkbanco,fkagencia] [composta] apontando para a tabela agencias(pkfkbanco,pkagencia].
4	fkteltipo	smallint	NI	Nao	fk [fk2agenciatel]=[fkteltipo] apontando para a tabela telefonestipos(cpteltipo]
5	nutelefone	character	15	Sim	Número do telefone referente ao tipo na agência.
6	txnomecontato	character varying	30	Nao	Nome de uma pessoa que atende como contato no telefone.
7	dtcadagenciatel	date	NI	Nao	Data de geração do registro.
					
3. aplicacoesdascontas		Comentário: Registro das aplicações financeiras de cada conta de funcionarios. É o desmembramento de um relacionamento N:M. Tem uma Chave candidata composta.			
1	pknuaplicdaconta	integer	NI	Sim	pk da Tabela [pkaplicacaodaconta]=[pknuaplicdaconta]. Número inteiro sequencial crescente de 1 em 1.
2	fkaplicfin	integer	NI	Sim	fk [fk1aplicacaodaconta]=[fkaplicfin] apontando para a tabela aplicacoesfinanceiras[pkaplicfin].
3	fkbanco	character	3	Sim	fk [fk2aplicacaodaconta]=[fkbanco,fkagencia,fknuconta] [composta] apontando para a tabela contas (pkfkbanco,pkfkagencia,pknuconta] - pode ter letras.
4	fkagencia	character	6	Sim	fk [fk2aplicacaodaconta]=[fkbanco,fkagencia,fknuconta] [composta] apontando para a tabela contas (pkfkbanco,pkfkagencia,pknuconta] - pode ter letras].
5	fknuconta	character	6	Sim	fk [fk2aplicacaodaconta]=[fkbanco,fkagencia,fknuconta] [composta] apontando para a tabela contas (pkfkbanco,pkfkagencia,pknuconta] - pode ter letras].
6	vltaxaaplicacaoconta	double precision	NI	Sim	Valor da Taxa de Retorno da Aplicação na conta.
7	vlsaldo	real	NI	Sim	Valor da Aplicação da conta.
8	dtlancamentoinicial	date	NI	Sim	Data de lançamento inicial de valor na aplicação financeira da conta.
9	dtcadaplicconta	date	NI	Sim	Data de geração do registro.
					
4. aplicacoesfinanceiras		Comentário: Cadastro de aplicações financeiras que podem ser feitas para as contas de funcionarios.			
1	pkaplicfin	smallint	NI	Sim	pk da Tabela [pkaplicacaofinanceira]=[pkaplicfin]. Número inteiro sequencial crescente de 1 em 1.
2	txnomeaplicacao	character varying	250	Sim	Nome da aplicação financeira
3	txregrasdaaplicacao	text	NI	Nao	Descrição detalhada das regras de como fazer a aplicação financeira: saldo inicial, datas limites e formas de recuperação.
4	vlmintaxaderetorno	double precision	NI	Nao	Valor mínimo da Taxa de Retorno da Aplicação Financeira.
5	vlmaxtaxaderetorno	double precision	NI	Nao	Valor máximo da Taxa de Retorno da Aplicação Financeira.
6	dtcadaplicfin	date	NI	Nao	Data de geração do registro.
					
5. areadeestudos		Comentário: Cadastro das áreas de estudo de interesse geral, tais como EXATAS, HUMANAS, etc., e suas subdivisões.			
1	pkareadeestudo	integer	NI	Sim	pk da Tabela [pkareadeestudo]=[pkareadeestudo]. Número inteiro sequencial crescente de 1 em 1.
2	txnomearea	character varying	250	Sim	Nome da area de estudo (ou área de conhecimento].
3	txdescricaoarea	text	NI	Nao	Descrição detalhada de uma Área de Estudo (ou área de conhecimento].
4	dtcadareaestudo	date	NI	Sim	Data de geração do registro.
					
6. areadeestudocursos		Comentário: Registro das áreas de estudos de cada curso. É o desmembramento de um relacionamento N:M.			
1	pkareaestcurso	integer	NI	Sim	pk da Tabela [pkareadeestudocurso]=[pkareaestcurso]. Número inteiro sequencial crescente de 1 em 1.
2	ukcecurso	integer	NI	Sim	Parte da CC [uk1areadeestudocurso]=[ukceareadeestudo,cccecurso], CE [fk1areadeestudocurso]=[cccecurso] apontando para a tabela cursos[pkcurso].
3	ukceareadeestudo	integer	NI	Sim	Parte da CC [uk1areadeestudocurso]=[ccceareadeestudo,cccecurso], CE [fk2areadeestudocurso]=[ccceareadeestudo] apontando para a tabela areadeestudos[pkareadeestudo].
4	dtcadareaestcurso	date	NI	Sim	Data de geração do registro.
					
